Rewards 	Actor Loss	Criti_1 Loss	Critic_2 Loss
-13.494819	0.375415	0.001278	0.001244
-16.801155	0.505229	0.000244	0.000124
-13.053032	0.543517	0.000136	0.000250
-15.786511	0.650852	0.000138	0.000439
-18.912065	0.660434	0.000078	0.000075
-17.740600	0.697381	0.000282	0.000248
-9.411070	0.780428	0.000278	0.000482
-19.426700	0.790112	0.000731	0.000473
-9.135029	0.823018	0.002063	0.000852
-9.061768	0.866279	0.000902	0.001063
-8.735821	0.904053	0.000660	0.000705
-11.169009	0.891544	0.001275	0.001069
-9.989626	0.971941	0.002468	0.002485
-14.578329	1.081810	0.003619	0.004822
-11.076357	1.074014	0.002094	0.001691
-11.503189	1.078581	0.001868	0.001227
-10.611963	1.147948	0.003148	0.001914
-11.643264	1.144145	0.004069	0.004065
-11.089471	1.214526	0.003151	0.003488
-8.857670	1.156292	0.003574	0.003641
-9.549239	1.239016	0.004727	0.003765
-16.879417	1.275042	0.001867	0.002530
-14.597492	1.401951	0.005471	0.006374
-13.366335	1.461228	0.008651	0.005403
-11.946843	1.476038	0.002266	0.005249
-15.084189	1.431873	0.005369	0.010380
-12.165926	1.423668	0.008328	0.006880
-15.944233	1.523481	0.013778	0.007406
-14.450699	1.577033	0.002115	0.002589
-12.940503	1.612584	0.006796	0.007433
-15.758041	1.649903	0.010894	0.008353
-15.353339	1.755810	0.005145	0.005583
-15.149898	1.830306	0.004842	0.004547
-20.700385	1.948131	0.005629	0.005321
-17.300138	2.015864	0.007647	0.009025
-18.057817	2.059444	0.012742	0.014732
-17.164192	2.050063	0.020501	0.019909
-12.298943	2.259370	0.002780	0.003580
-15.043900	2.294604	0.002231	0.002611
-10.697799	2.398671	0.012164	0.010665
-12.860632	2.379693	0.002608	0.003075
-11.422596	2.500379	0.012315	0.010769
-13.036694	2.567965	0.024242	0.023797
-5.226440	2.705072	0.010958	0.009490
-18.317700	2.672592	0.004425	0.004441
-5.388302	2.715054	0.002449	0.002609
-18.416640	2.716581	0.001911	0.002714
-11.139564	2.884642	0.010913	0.005163
-3.392259	2.779863	0.154613	0.153409
-11.052388	2.936297	0.010476	0.015737
-8.027369	2.952256	0.004845	0.005744
-7.779894	2.935077	0.004042	0.002556
-5.017576	2.902215	0.013919	0.017976
-11.098426	3.073128	0.011616	0.010474
-11.787408	3.039892	0.003488	0.003155
-12.111530	3.085053	0.003329	0.003499
-4.167877	3.072500	0.004204	0.005005
-3.066878	3.080693	0.141240	0.146877
-11.157440	3.194158	0.026161	0.036585
-12.630908	3.249029	0.021224	0.010028
-11.523509	3.175410	0.128343	0.156184
-11.453368	3.167973	0.021436	0.012716
-11.240170	3.200108	0.077460	0.098357
-10.741083	3.151477	0.104045	0.046106
-0.503811	3.142871	0.161383	0.120791
-11.431702	3.048295	0.122451	0.121245
-4.063832	3.070114	0.035896	0.029379
-3.813127	3.131707	0.010345	0.015238
3.768931	3.295017	0.046752	0.073609
2.702039	3.092865	0.087533	0.094847
-11.902556	3.187572	0.099452	0.123378
-0.371240	3.113334	0.038839	0.042742
-3.493210	3.203505	0.055901	0.033246
7.411140	3.342507	0.139741	0.097743
-2.986693	2.996349	0.234451	0.264755
-3.611809	3.107774	0.088124	0.115390
-11.231214	3.228508	0.027306	0.032955
-17.170533	3.296414	0.035203	0.045336
-1.226890	3.104258	0.034393	0.027009
8.077456	3.061537	0.157996	0.111265
-5.593068	3.014272	0.019104	0.020886
-10.122157	3.023138	0.040023	0.046201
-17.814028	3.013882	0.061356	0.037029
-12.717136	2.877419	0.079659	0.071026
-17.930761	2.894435	0.060418	0.067651
-14.069564	2.877419	0.021409	0.021680
-13.635074	2.940314	0.076890	0.081476
-14.408756	2.710626	0.054992	0.042803
-10.439986	2.652194	0.040221	0.059582
-19.577714	2.630420	0.037124	0.035851
-13.260361	2.901914	0.024932	0.028557
-8.604243	2.981299	0.048804	0.190770
-12.309793	2.946847	0.049462	0.027431
-3.868368	2.863633	0.022685	0.014749
-4.198869	2.823882	0.021107	0.027118
-12.837516	2.662939	0.031093	0.035401
-4.092074	2.693686	0.043875	0.030168
-0.831634	2.449079	0.043260	0.027408
-9.096372	2.806675	0.033115	0.044457
-1.161475	2.383227	0.036850	0.040490
-1.010150	2.641867	0.031036	0.025508
7.721911	2.562401	0.068621	0.085444
3.056155	2.399236	0.095705	0.116584
3.262188	2.620322	0.021470	0.030959
3.891644	2.367723	0.041801	0.043046
2.836757	2.330417	0.069885	0.061700
3.424665	2.752387	0.068699	0.053195
3.124372	2.577911	0.076415	0.022145
4.898128	2.755975	0.066274	0.054905
0.474961	2.603799	0.081946	0.073661
3.385278	2.417310	0.051565	0.044634
3.858968	2.448279	0.051845	0.108864
3.270866	2.385310	0.044129	0.040900
-4.619558	2.527205	0.026773	0.035946
3.957422	2.368337	0.043150	0.050700
3.674245	2.373868	0.033699	0.041438
-0.904445	2.370184	0.049214	0.082215
-4.168191	2.100173	0.044243	0.035349
-0.135948	2.221025	0.087692	0.082093
7.135275	2.425060	0.037429	0.024201
-0.858186	2.304371	0.056780	0.043190
3.290631	2.012598	0.079662	0.069537
3.473417	2.298906	0.052873	0.038319
6.452801	2.209317	0.037055	0.046560
7.190497	2.104685	0.036778	0.031426
7.541476	2.044134	0.044595	0.047216
3.763333	1.913985	0.042941	0.045053
-5.173458	2.097389	0.052149	0.060490
-4.683010	2.177912	0.104284	0.113742
-7.857940	2.048630	0.039082	0.050776
7.825649	1.844980	0.065055	0.071984
2.805438	2.047558	0.129659	0.046009
3.672240	1.984146	0.116611	0.059775
0.502910	1.929354	0.086454	0.078227
